row_id,section,method,backbone,n,n_missing_or_unscoreable,ECS_strict_pct,ECS_strict_ci95_lo,ECS_strict_ci95_hi,ECS_oracle_pct,ECS_noev_pct,F1_role_pct,H_cite_text_pct,H_cite_table_pct
1,upper,B3 Flat-Evidence,GPT-4o,789,0,88.34,86.06,90.49,100.0,100.0,56.18,96.67,3.36
2,upper,G,GPT-4o,789,0,91.89,89.99,93.79,100.0,100.0,60.69,97.6,20.17
3,upper,G,GPT-4o-mini,789,0,78.96,76.05,81.75,97.08,97.08,57.9,87.6,21.01
4,upper,G,GPT-3.5 Turbo 0125,789,39,70.98,67.81,74.14,93.54,93.54,48.52,78.27,15.97
5,upper,G,Claude Haiku 4.5,789,1,94.3,92.65,95.82,99.11,99.11,46.21,98.93,36.13
6,upper,TRACE,GPT-4o,789,0,91.25,89.23,93.16,100.0,100.0,60.69,97.2,20.17
7,upper,TRACE,GPT-4o-mini,789,0,80.35,77.57,83.02,100.0,100.0,57.87,90.27,19.33
8,upper,TRACE,GPT-3.5 Turbo 0125,789,25,74.14,71.1,77.19,96.83,96.83,49.97,80.4,21.01
9,upper,TRACE,Claude Haiku 4.5,789,0,95.06,93.54,96.58,100.0,100.0,46.97,98.67,36.97
10,lower,G,GPT-4o,789,0,91.89,89.99,93.79,100.0,100.0,60.69,97.6,20.17
11,lower,G+R1+V,GPT-4o,789,0,89.23,87.07,91.38,96.83,96.83,60.69,97.6,20.17
12,lower,G+R1+V+SR-D,GPT-4o,789,0,91.25,89.23,93.16,100.0,100.0,60.69,97.2,20.17
13,lower,TRACE,GPT-4o,789,0,91.25,89.23,93.16,100.0,100.0,60.69,97.2,20.17
